mlevel_code,mlevel_desc
1001,ระดับ 1 กรุงเทพมหานคร
1002,ระดับ 2 กรุงเทพมหานคร
1003,ระดับ 3 กรุงเทพมหานคร
1101,ระดับ 1 สมุทรปราการ
1102,ระดับ 2 สมุทรปราการ
1103,ระดับ 3 สมุทรปราการ
1201,ระดับ 1 นนทบุรี
1202,ระดับ 2 นนทบุรี
1203,ระดับ 3 นนทบุรี
1301,ระดับ 1 ปทุมธานี
1302,ระดับ 2 ปทุมธานี
1303,ระดับ 3 ปทุมธานี
1401,ระดับ 1 พระนครศรีอยุธยา
1402,ระดับ 2 พระนครศรีอยุธยา
1403,ระดับ 3 พระนครศรีอยุธยา
1501,ระดับ 1 อ่างทอง
1502,ระดับ 2 อ่างทอง
1503,ระดับ 3 อ่างทอง
1601,ระดับ 1 ลพบุรี
1602,ระดับ 2 ลพบุรี
1603,ระดับ 3 ลพบุรี
1701,ระดับ 1 สิงห์บุรี
1702,ระดับ 2 สิงห์บุรี
1703,ระดับ 3 สิงห์บุรี
1801,ระดับ 1 ชัยนาท
1802,ระดับ 2 ชัยนาท
1803,ระดับ 3 ชัยนาท
1901,ระดับ 1 สระบุรี
1902,ระดับ 2 สระบุรี
1903,ระดับ 3 สระบุรี
2001,ระดับ 1 ชลบุรี
2002,ระดับ 2 ชลบุรี
2003,ระดับ 3 ชลบุรี
2101,ระดับ 1 ระยอง
2102,ระดับ 2 ระยอง
2103,ระดับ 3 ระยอง
2201,ระดับ 1 จันทบุรี
2202,ระดับ 2 จันทบุรี
2203,ระดับ 3 จันทบุรี
2301,ระดับ 1 ตราด
2302,ระดับ 2 ตราด
2303,ระดับ 3 ตราด
2401,ระดับ 1 ฉะเชิงเทรา
2402,ระดับ 2 ฉะเชิงเทรา
2403,ระดับ 3 ฉะเชิงเทรา
2501,ระดับ 1 ปราจีนบุรี
2502,ระดับ 2 ปราจีนบุรี
2503,ระดับ 3 ปราจีนบุรี
2601,ระดับ 1 นครนายก
2602,ระดับ 2 นครนายก
2603,ระดับ 3 นครนายก
2701,ระดับ 1 สระแก้ว
2702,ระดับ 2 สระแก้ว
2703,ระดับ 3 สระแก้ว
3001,ระดับ 1 นครราชสีมา
3002,ระดับ 2 นครราชสีมา
3003,ระดับ 3 นครราชสีมา
3101,ระดับ 1 บุรีรัมย์
3102,ระดับ 2 บุรีรัมย์
3103,ระดับ 3 บุรีรัมย์
3201,ระดับ 1 สุรินทร์
